70001;10001;Acquaviva Collecroce;1
70002;10001;Baranello;1
70002;20003;Annecchiali II;0
70002;20004;Calvario;0
70002;20005;Canale;0
70002;20006;Cappella;0
70002;20007;Castellaro;0
70002;20009;Coscia di Ponte;0
70002;20010;Fonte Ferrara;0
70002;20011;Fonte Garile;0
70002;20012;Fonte Polo;0
70002;20014;Lago Ranallo;0
70002;20015;Largo Zullo-Sterparo;0
70002;20017;Masserie Tomaro;0
70002;20018;Petrole;0
70002;20021;Piana Macaro;0
70002;20022;San Nicola I;0
70002;20023;San Nicola II;0
70002;20024;Terranova I;0
70002;20025;Valle;0
70002;20026;Colle Cialone;0
70002;20027;Acquevive;0
70002;20029;Venditto;0
70002;20030;Terranova;0
70003;10001;Bojano;1
70003;10002;Castellone;0
70003;10003;Civita Superiore;0
70003;10004;Monteverde;0
70003;20009;Fonte delle Felci;0
70003;20012;Masseria Pitoscia;0
70003;20014;Pallotta;0
70003;20015;Pitti;0
70003;20017;Massari;0
70003;30001;Popoli;0
70003;30002;Bosco Popolo;0
70003;30004;Vicenne;0
70004;10001;Bonefro;1
70004;15402;Monte di Pietra;0
70004;20001;San Vito;0
70005;10001;Busso;1
70005;20001;Calcarella;0
70006;10001;Campobasso;1
70006;10002;Santo Stefano;0
70006;20001;Calvario;0
70006;20002;Camposarcone;0
70006;20004;Casino Barone;0
70006;20005;Cerreto;0
70006;20006;Colle Arso;0
70006;20008;Coste di Oratino II;0
70006;20009;Colle Longo;0
70006;20010;Coste di Oratino;0
70006;20011;Feudo I;0
70006;20012;Feudo II;0
70006;20013;Fossato Cupo;0
70006;20014;Lupara I;0
70006;20015;Mascione;0
70006;20017;Polese;0
70006;20019;San Giovanni in Golfo I;0
70006;20020;San Giovanni in Golfo II;0
70006;20022;Santa Maria de Foras;0
70006;20025;Tappino;0
70006;20028;S.Antonio dei Lazzari;0
70006;20029;Colle delle Api;0
70006;20030;Contrada Case;0
70006;20031;Limiti;0
70006;22916;Ospedale;0
70006;22931;Universitö Cattolica del Sacro Cuore;0
70006;30001;Selva Piana;0
70006;30002;Zona Industriale San Giovanni in Golfo;0
70007;10001;Campochiaro;1
70008;10001;Campodipietra;1
70008;20001;Aia della Noce;0
70008;20002;Montevergine;0
70008;20003;San Giovanni Cerreto;0
70008;20004;Soglioni I;0
70008;20005;Testara;0
70008;20006;Montevergine II;0
70008;20007;Soglioni II;0
70008;20008;Soglioni III;0
70008;20009;Selva I;0
70008;20010;Selva II;0
70008;20011;Selva III;0
70008;20014;Cataniello III;0
70008;20016;San Silvestro;0
70009;10001;Campolieto;1
70009;20002;Monte;0
70009;20003;Taverna Clemente;0
70009;20004;Taverna del Tratturo;0
70009;20005;Piano delle Cicorie;0
70009;20006;Martina;0
70010;10001;Campomarino;1
70010;10002;Lido Campomarino;0
70010;10003;Nuova Cliternia;0
70010;10004;Buccaro1;0
70010;20001;Cianaluca;0
70010;20002;Buccaro;0
70010;20003;Santa Monica;0
70010;20004;Ramitelli;0
70010;30002;Nucleo Industriale Termoli;0
70011;10001;Casacalenda;1
70011;20003;San Vito;0
70012;10001;Casalciprano;1
70012;20001;Masserie Tedeschi;0
70012;20002;Valli;0
70013;10001;Castelbottaccio;1
70014;10001;Castellino del Biferno;1
70014;20001;Castellino Nuovo;0
70015;10001;Castelmauro;1
70016;10001;Castropignano;1
70016;10002;Roccaspromonte;0
70016;20001;Cerreto;0
70017;10001;Cercemaggiore;1
70017;20001;Barrea;0
70017;20002;Cacerno;0
70017;20003;Canale;0
70017;20004;Capoiaccio;0
70017;20005;Caselvatico;0
70017;20006;Castagna;0
70017;20007;Catrocca;0
